english_name,chinese_name,source_id,extra_json
Tanaka Torahiko no Ultra-ryuu Shougi - Ibisha Anaguma-hen (Japan),田中寅彦之寅流将棋 - 居飞车穴熊编  （日版）,DC#1117,
Tantei Shinshi Dash! (Japan),侦探绅士!  （日版）,DC#1118,
Tantei Shinshi Dash! (Japan) (Rev A),侦探绅士!  （日版） (Rev A),DC#1119,
Taxi 2 - Le Jeu (France),出租车 2 - 游戏  （法国版）,DC#1120,
Tech Romancer (Europe),超钢战记  （欧版）,DC#1121,
Tech Romancer (USA),超钢战记  （美版）,DC#1122,
Tee Off (Europe),高尔夫大进击  （欧版）,DC#1123,
Tee Off (USA),高尔夫大进击  （美版）,DC#1124,
"Tennis 2K2 (USA) (En,Ja,Fr,De,Es) (Rev A)","网球 2K2  （美版） (En,Ja,Fr,De,Es) (Rev A)",DC#1125,
"Tenohira o, Taiyou ni (Japan)",てのひらを、たいように  （日版）,DC#1126,
Tentama - 1st Sunny Side (Japan),见习天使 - 1st Sunny Side  （日版）,DC#1127,
Test Drive 6 (USA),无限试驾6  （美版）,DC#1128,
"Test Drive Le Mans (USA) (En,Fr,Es)","新手上路  （美版） (En,Fr,Es)",DC#1129,
"Test Drive V-Rally (USA) (En,Fr,De)","试驾拉力赛  （美版） (En,Fr,De)",DC#1130,
Tetris 4D (Japan),方块 4D  （日版）,DC#1131,
"Time Stalkers (Europe) (En,Fr,De,Es)","光明与黑暗  （欧版） (En,Fr,De,Es)",DC#1132,
Time Stalkers (USA),光明与黑暗  （美版）,DC#1133,
TNN Motorsports Hard(a)core Heat (USA),火热越野大赛车  （美版）,DC#1134,
Tokusatsu Bouken Katsugeki Super Hero Retsuden (Japan),超级英雄列传  （日版）,DC#1135,
Tokyo Bus Guide (Japan),东京巴士案内  （日版）,DC#1136,
Tokyo Bus Guide (Japan) (Rev A),东京巴士案内  （日版） (Rev A),DC#1137,
Tokyo Bus Guide - Bijin Bus Guide Tenjou Disc (Japan),东京巴士案内 - 美人添乘  （日版）,DC#1138,
Tokyo Highway Challenge (Europe),首都高赛车  （欧版）,DC#1139,
Tokyo Highway Challenge 2 (Europe),首都高赛车 2  （欧版）,DC#1140,
Tokyo Xtreme Racer (USA),首都高赛车  （美版）,DC#1141,
Tokyo Xtreme Racer 2 (USA),首都高赛车 2  （美版）,DC#1142,
Tom Clancy's Rainbow Six - Rogue Spear + Mission Pack - Urban Operations (Europe),彩虹六号雷霆战警资料片:特警迷城  （欧版）,DC#1143,
Tom Clancy's Rainbow Six - Rogue Spear + Mission Pack - Urban Operations (France),彩虹六号雷霆战警资料片:特警迷城  （法国版）,DC#1144,
Tom Clancy's Rainbow Six - Rogue Spear + Mission Pack - Urban Operations (Germany),彩虹六号雷霆战警资料片:特警迷城  （德国版）,DC#1145,
Tom Clancy's Rainbow Six - Rogue Spear + Mission Pack - Urban Operations (USA),彩虹六号雷霆战警资料片:特警迷城  （美版）,DC#1146,
Tom Clancy's Rainbow Six incl. Eagle Watch Missions (Europe),汤姆·克兰西的彩虹六号. 鹰眼行动  （欧版）,DC#1147,
Tom Clancy's Rainbow Six incl. Eagle Watch Missions (France),汤姆·克兰西的彩虹六号. 鹰眼行动  （法国版）,DC#1148,
Tom Clancy's Rainbow Six incl. Eagle Watch Missions (Germany),汤姆·克兰西的彩虹六号. 鹰眼行动  （德国版）,DC#1149,
Tom Clancy's Rainbow Six with Eagle Watch Missions (USA),彩虹六号:鹰眼行动  （美版）,DC#1150,
Tomb Raider - Die Chronik (Germany),古墓丽影 历代记 （德国版）,DC#1151,
Tomb Raider - La Revelation Finale (France),古墓丽影：最终启示 （法国版）,DC#1152,
Tomb Raider - Sur les Traces de Lara Croft (France),古墓丽影 劳拉·克劳馥的冒险 （法国版）,DC#1153,
Tomb Raider - The Last Revelation (Europe),古墓丽影：最终启示  （欧版）,DC#1154,
Tomb Raider - The Last Revelation (Italy),古墓丽影：最终启示  （意大利版）,DC#1155,
Tomb Raider - The Last Revelation (Spain),古墓丽影：最终启示  （西班牙版）,DC#1156,
Tomb Raider - The Last Revelation (USA),古墓丽影：最终启示  （美版）,DC#1157,
Tomb Raider Chronicles (Europe),古墓丽影5：历代记  （欧版）,DC#1158,
Tomb Raider Chronicles (Spain),古墓丽影5：历代记  （西班牙版）,DC#1159,
Tomb Raider Chronicles (USA),古墓丽影5：历代记  （美版）,DC#1160,
Tomb Raider Chronicles - La Leggenda di Lara Croft (Italy),古墓丽影5：历代记 劳拉·克劳馥的冒险 （意大利版）,DC#1161,
Tomb Raider IV - The Last Revelation (Germany),古墓丽影IV  - 最终启示录  （德国版）,DC#1162,
Tomb Raider IV - The Last Revelation (Japan),古墓丽影IV  - 最终启示录  （日版）,DC#1163,
Tony Hawk's Pro Skater (USA),托尼霍克职业滑板  （美版）,DC#1164,
Tony Hawk's Pro Skater 2 (Europe),托尼霍克职业滑板2  （欧版）,DC#1165,
Tony Hawk's Pro Skater 2 (Germany),托尼霍克职业滑板2  （德国版）,DC#1166,
Tony Hawk's Pro Skater 2 (USA),托尼霍克职业滑板2  （美版）,DC#1167,
Tony Hawk's Skateboarding (Europe),托尼霍克职业滑板  （欧版）,DC#1168,
"Totsugeki! Teketeke!! Toy Ranger (Japan) (En,Ja,Fr,Es)","突击!玩具兵  （日版） (En,Ja,Fr,Es)",DC#1169,
"Toy Commander (Europe) (En,Fr,De,Es)","玩具总动员  （欧版） (En,Fr,De,Es)",DC#1170,
"Toy Commander (USA) (En,Fr,De,Es)","玩具总动员  （美版） (En,Fr,De,Es)",DC#1171,
"Toy Racer (Europe) (En,Fr,De,Es)","玩具总动员赛车  （欧版） (En,Fr,De,Es)",DC#1172,
Treasure Strike (Japan),夺宝大进击  （日版）,DC#1173,
"TrickStyle (Europe) (En,Fr,De,Es,It)","极限滑板  （欧版） (En,Fr,De,Es,It)",DC#1174,
TrickStyle (USA),极限滑板  （美版）,DC#1175,
Tricolore Crise (Japan),三色危机  （日版）,DC#1176,
Tricolore Crise - Art Palette (Japan),三色危机 - 艺术调色板  （日版）,DC#1177,
Triggerheart Exelica (Japan),扳机之心  （日版）,DC#1178,
Trizeal (Japan),热爱射击  （日版）,DC#1179,
Tsuki wa Higashi ni Hi wa Nishi ni - Operation Sanctuary (Japan),夜月东升暮日西沉 - Operation Sanctuary  （日版）,DC#1180,
Tsuushin Taisen Logic Battle Daisessen (Japan),通信对战 逻辑战斗 大雪战  （日版）,DC#1181,
"Twinkle Star Sprites (Japan) (En,Ja,Es)","魔幻小妖精/闪亮小妖精  （日版） (En,Ja,Es)",DC#1182,
Typing of the Date (Japan),打字约会  （日版）,DC#1183,
"Typing of the Dead, The (Japan)",死亡打字机  （日版）,DC#1184,
"Typing of the Dead, The (USA)",死亡打字机  （美版）,DC#1185,
"UEFA Dream Soccer (Europe) (En,Fr,De,Es)","UEFA梦幻足球  （欧版） (En,Fr,De,Es)",DC#1186,
"UEFA Dream Soccer (France) (En,Fr,De,Es)","UEFA梦幻足球  （法国版） (En,Fr,De,Es)",DC#1187,
"UEFA Dream Soccer (Germany) (En,Fr,De,Es)","UEFA梦幻足球  （德国版） (En,Fr,De,Es)",DC#1188,
UEFA Dream Soccer (Spain),UEFA梦幻足球  （西班牙版）,DC#1189,
"UEFA Striker (Europe) (En,Fr,De,Es,It,Nl)","欧足联前锋 （欧版） (En,Fr,De,Es,It,Nl)",DC#1190,
Ultimate Fighting Championship (Europe),终极格斗冠军赛 （欧版）,DC#1191,
Ultimate Fighting Championship (Japan),终极格斗冠军赛 （日版）,DC#1192,
Ultimate Fighting Championship (USA),终极格斗冠军赛 （美版）,DC#1193,
Under Defeat (Japan),天翔铁骑/击坠  （日版）,DC#1194,
UnderCover AD2025 Kei (Japan),潜入搜查课AD之食卓2025  （日版）,DC#1195,
Unreal Tournament (Europe),虚幻竞技场  （欧版）,DC#1196,
Unreal Tournament (USA),虚幻竞技场  （美版）,DC#1197,
"Urban Chaos (Europe) (En,Fr)","混乱都市  （欧版） (En,Fr)",DC#1198,
"Urban Chaos (USA) (En,Fr)","混乱都市  （美版） (En,Fr)",DC#1199,
"US Shenmue (Japan) (En,Ja) (Disc 1)","莎木US版  （日版） (En,Ja) (Disc 1)",DC#1200,
"US Shenmue (Japan) (En,Ja) (Disc 2)","莎木US版  （日版） (En,Ja) (Disc 2)",DC#1201,
"US Shenmue (Japan) (En,Ja) (Disc 3)","莎木US版  （日版） (En,Ja) (Disc 3)",DC#1202,
"US Shenmue (Japan) (En,Ja) (Shenmue Passport)","莎木US版  （日版） (En,Ja) (Shenmue Passport)",DC#1203,
Utau - Tumbling Dice (Japan),命运骰子  （日版）,DC#1204,
"V-Rally 2 - Expert Edition (Europe) (En,Fr,De)","拉力赛车2-穿越生死线  （欧版） (En,Fr,De)",DC#1205,
Vampire Chronicle for Matching Service (Japan),恶魔战士编年史 浑沌之塔  （日版）,DC#1206,
"Vanishing Point (Europe) (En,Fr,De,Es,It)","消失点  （欧版） (En,Fr,De,Es,It)",DC#1207,
Vanishing Point (USA),消失点  （美版）,DC#1208,
Vermilion Desert (Japan),银砂之漠  （日版）,DC#1209,
Vigilante 8 - 2nd Battle (Japan),武装战斗车 - 第二次战斗  （日版）,DC#1210,
Vigilante 8 - 2nd Offense (Europe),武装战斗车-二次进攻  （欧版）,DC#1211,
Vigilante 8 - 2nd Offense (USA),武装战斗车-二次进攻  （美版）,DC#1212,
"Virtua Athlete 2000 (USA) (En,Fr,De,Es)","VR运动会 2000  （美版） (En,Fr,De,Es)",DC#1213,
"Virtua Athlete 2K (Europe) (En,Fr,De,Es)","VR运动会 2K  （欧版） (En,Fr,De,Es)",DC#1214,
Virtua Athlete 2K (Japan),VR运动会 2K  （日版）,DC#1215,
Virtua Cop 2 (Japan),VR警察 2  （日版）,DC#1216,
Virtua Fighter 3tb (Europe),VR战士 3tb  （欧版）,DC#1217,
Virtua Fighter 3tb (Japan),VR战士 3tb  （日版）,DC#1218,
Virtua Fighter 3tb (Japan) (Rev 1),VR战士 3tb  （日版） (Rev 1),DC#1219,
Virtua Fighter 3tb (USA),VR战士 3tb  （美版）,DC#1220,
Virtua Fighter 4 Passport (Japan),VR战士 4 Passport  （日版）,DC#1221,
Virtua Fighter History & VF4 (Japan),VR战士 历史 & VF4  （日版）,DC#1222,
"Virtua Striker 2 (USA) (En,Ja,De,Es)","VR足球 2  （美版） (En,Ja,De,Es)",DC#1223,
Virtua Striker 2 Ver. 2000.1 (Europe) (Beta),VR足球 2 Ver. 2000.1  （欧版） （测试版）,DC#1224,
