english_name,chinese_name,source_id,extra_json
"Marko's Magic Football (Europe) (En,Fr,De,Es)","马可的魔术足球 （欧版） (EN,FR,DE,ES)",MDCD#243,
Mary Shelley's Frankenstein (USA),科学怪人之再生情狂 （美版）,MDCD#244,
"Masked Rider, The - Kamen Rider ZO (USA)",假面骑士 ZO （美版）,MDCD#245,
Mega Schwarzschild (Japan),银河战国列传 （日版）,MDCD#246,
MegaRace (USA),烈火战车 （美版）,MDCD#247,
"Mickey Mania (Europe) (Demo) (Mega Power, Sega Pro)","疯狂米老鼠 （欧版） (体验版) (MEGA POWER, 世嘉 PRO)",MDCD#248,
Mickey Mania (Europe) (Demo) (Mega Sega),疯狂米老鼠 （欧版） (体验版) (MEGA 世嘉),MDCD#249,
Mickey Mania (Europe),疯狂米老鼠 （欧版）,MDCD#250,
Mickey Mania - The Timeless Adventures of Mickey Mouse (USA),米老鼠狂热-米老鼠永恒的冒险 （美版）,MDCD#251,
Microcosm (Europe) (Alt),缩影 （欧版） (ALT),MDCD#252,
Microcosm (Europe),缩影 （欧版）,MDCD#253,
Microcosm (Japan) (Demo),缩影 （日版） (体验版),MDCD#254,
Microcosm (Japan),缩影 （日版）,MDCD#255,
Microcosm (USA),缩影 （美版）,MDCD#256,
Midnight Raiders (Europe),夜袭者 （欧版）,MDCD#257,
Midnight Raiders (USA),夜袭者 （美版）,MDCD#258,
Might and Magic III - Isles of Terra (Japan),魔法门3:幻岛历险记 （日版）,MDCD#259,
Mighty Morphin Power Rangers (Europe),恐龙战士 （欧版）,MDCD#260,
Mighty Morphin Power Rangers (USA),恐龙战士 （美版）,MDCD#261,
Mortal Kombat (Europe),真人快打 （欧版）,MDCD#262,
Mortal Kombat (USA),真人快打 （美版）,MDCD#263,
Mortal Kombat Kanzenban (Japan),真人快打 完全版 （日版）,MDCD#264,
My Paint (USA),我的涂鸦 （美版）,MDCD#265,
NBA Jam (Europe),美国职业篮球联赛JAM （欧版）,MDCD#266,
NBA Jam (Japan),美国职业篮球联赛JAM （日版）,MDCD#267,
NBA Jam (USA),美国职业篮球联赛JAM （美版）,MDCD#268,
NFL Football Trivia Challenge (USA),美国橄榄球挑战赛 （美版）,MDCD#269,
NFL's Greatest - San Francisco vs. Dallas 1978-1993 (USA),NFL伟大时刻-旧金山对达拉斯 1978-1993 （美版）,MDCD#270,
NHL '94 (USA),加拿大冰球联赛 '94 （美版）,MDCD#271,
NHL Hockey '94 (Europe),加拿大冰球联赛 HOCKEY '94 （欧版）,MDCD#272,
"Night Striker (Japan, Korea)","午夜出击 (日版,韩版)",MDCD#273,
Night Trap (Europe) (Disc 1) (Mega-CD 32X),午夜陷阱 （欧版） (DISC 1) (MEGA-CD 32X),MDCD#274,
Night Trap (Europe) (Disc 1),午夜陷阱 （欧版） (DISC 1),MDCD#275,
Night Trap (Europe) (Disc 2) (Mega-CD 32X),午夜陷阱 （欧版） (DISC 2) (MEGA-CD 32X),MDCD#276,
Night Trap (Europe) (Disc 2),午夜陷阱 （欧版） (DISC 2),MDCD#277,
Night Trap (France) (Disc 1),午夜陷阱 （法版） (DISC 1),MDCD#278,
Night Trap (France) (Disc 2),午夜陷阱 （法版） (DISC 2),MDCD#279,
Night Trap (Japan) (Disc 1),午夜陷阱 （日版） (DISC 1),MDCD#280,
Night Trap (Japan) (Disc 2),午夜陷阱 （日版） (DISC 2),MDCD#281,
Night Trap (Japan) (Sample),午夜陷阱 （日版） 体验版,MDCD#282,
Night Trap (USA) (Disc 1) (Alt),午夜陷阱 （美版） (DISC 1) (ALT),MDCD#283,
Night Trap (USA) (Disc 1) (Rerelease) (Alt),午夜陷阱 （美版） (DISC 1) (再发行版) (ALT),MDCD#284,
Night Trap (USA) (Disc 1) (Rerelease),午夜陷阱 （美版） (DISC 1) (再发行版),MDCD#285,
Night Trap (USA) (Disc 1) (Sega CD 32X) (RE-1),午夜陷阱 （美版） (DISC 1) (世嘉 CD 32X) (RE-1),MDCD#286,
Night Trap (USA) (Disc 1),午夜陷阱 （美版） (DISC 1),MDCD#287,
Night Trap (USA) (Disc 2) (Rerelease) (Alt),午夜陷阱 （美版） (DISC 2) (再发行版) (ALT),MDCD#288,
Night Trap (USA) (Disc 2) (Rerelease),午夜陷阱 （美版） (DISC 2) (再发行版),MDCD#289,
Night Trap (USA) (Disc 2) (Sega CD 32X) (RE-1),午夜陷阱 （美版） (DISC 2) (世嘉 CD 32X) (RE-1),MDCD#290,
Night Trap (USA) (Disc 2),午夜陷阱 （美版） (DISC 2),MDCD#291,
"Ninja Warriors, The (Japan)",忍者战士 （日版）,MDCD#292,
Nobunaga no Yabou - Haouden (Japan),信长之野望 - 霸王传 （日版）,MDCD#293,
Nostalgia 1907 (Japan),怀旧 1907 （日版）,MDCD#294,
Note! Color Mechanica (USA) (Unl) (Alt),注意!彩色力学 （美版） （未授权版） (ALT),MDCD#295,
Note! Color Mechanica (USA) (Unl),注意!彩色力学 （美版） （未授权版）,MDCD#296,
Novastorm (Europe) (Demo),诺瓦风暴 （欧版） (体验版),MDCD#297,
Novastorm (Europe),诺瓦风暴 （欧版）,MDCD#298,
Novastorm (USA),诺瓦风暴 （美版）,MDCD#299,
Panic! (USA) (RE),恐慌! （美版） (RE),MDCD#300,
Pier Solar and the Great Architects Enhanced Soundtrack Disc (USA),太阳码头与大建筑师 增强音轨光盘 （美版）,MDCD#301,
Pitfall - The Mayan Adventure (Europe) (Demo),玛雅历险记 （欧版） (体验版),MDCD#302,
Pitfall - The Mayan Adventure (Europe),玛雅历险记 （欧版）,MDCD#303,
Pitfall - The Mayan Adventure (USA),玛雅历险记 （美版）,MDCD#304,
Popful Mail (Japan) (Sample),美少女剑士 （日版） 体验版,MDCD#305,
Popful Mail (Japan),美少女剑士 （日版）,MDCD#306,
Popful Mail (USA) (RE),美少女剑士 （美版） (RE),MDCD#307,
Power Factory (Europe),电力工厂 （欧版）,MDCD#308,
Power Factory (USA),电力工厂 （美版）,MDCD#309,
Power Monger (USA),权力征战 （美版）,MDCD#310,
PowerMonger (Europe),权力征战 （欧版）,MDCD#311,
Prince of Persia (Europe),波斯王子 （欧版）,MDCD#312,
Prince of Persia (Japan),波斯王子 （日版）,MDCD#313,
Prince of Persia (USA),波斯王子 （美版）,MDCD#314,
Prize Fighter (Europe) (Disc 1),拳击手 （欧版） (DISC 1),MDCD#315,
