title_id,serial,name,region
000400000015B300,CTR-BKFE,Kung Fu Panda: Showdown of Legendary Legends,USA
000400000017B100,CTR-BRQZ,Barbie & Her Sisters: Puppy Rescue,EUR
0004000000174800,CTR-BGLJ,Gudetama: Hanjuku de Tanomuwa,JPN
000400000017B300,CTR-BFLJ,Monster Strike,JPN
0004000000089000,CTR-JSPJ,Shippuu no Usagi-Maru: Megumi no Tama to Fuuma no Shirushi,JPN
0004000000176D00,CTR-KRBJ,Shippuu no Usagi-Maru: Nazo no Karakuri Shiro,JPN
0004000000174B00,CTR-BH6J,Disney Baymax: Heroes Battle,JPN
0004000000174A00,CTR-BYDJ,Shokugeki no Souma: Yuujou to Kizuna no Hitosara,JPN
0004000000180E00,CTR-AK3J,Sega 3D Fukkoku Archives 2,JPN
000400000015FC00,CTR-BTSP,Story of Seasons,EUR
0004000000041900,CTR-RAFP,Kirbys Dream Land,EUR
000400000007DC00,CTR-RBNP,Kirbys Dream Land 2,EUR
0004000000069200,CTR-RBKP,Kirbys Block Ball,EUR
000400000008AD00,CTR-RBYP,Kirbys Star Stacker,EUR
000400000008B100,CTR-RBZP,Kirbys Pinball Land,EUR
000400000017D800,CTR-BDXJ,Downtown no Gaki no Tsukai Yaarahen de!! Zettai ni Tsukamatte Haikenai Gasu Kurobikari Land,JPN
0004000000177600,CTR-BDAJ,Kaite Oboeru: DoraGana,JPN
0004000000030B00,CTR-ADAJ,Nintendogs + Cats: Shiba & New Friends (Rev02),JPN
0004000000181100,CTR-BP8J,Shantae: Kaizoku no Noroi,JPN
0004000000178000,CTR-BMVJ,Dream Girl Premier,JPN
0004000000169D00,CTR-AK4J,Aikatsu! My No.1 Stage!,JPN
0004000000174E00,CTR-BA9J,Medarot 9: Kabuto Ver.,JPN
0004000000174F00,CTR-BB9J,Medarot 9: Kuwagata Ver.,JPN
0004000000169C00,CTR-BMDJ,Chao Illust Club,JPN
0004000000181000,CTR-BM7J,My Melody: Negai ga Kanau Fushigi na Hako,JPN
0004000000170400,CTR-BNPJ,Niko*Puchi Girls Runway,JPN
0004000000178200,CTR-ARZJ,Sousaku Alice to Oujisama!,JPN
000400000005A500,CTR-ARMP,Rayman Origins (Rev01),EUR
0004000000170500,CTR-BCFJ,Cardfight!! Vanguard G: Stride To Victory!!,JPN
000400000017D400,CTR-BPKJ,Boku wa Koukuu Kanseikan: Airport Hero 3D - Kanku All Stars,JPN
000400000017C200,CTR-AYWZ,Yo-Kai Watch,EUR
000400000017D500,CTR-BZHJ,Zelda Musou: Hyrule All-Stars,JPN
0004000000185A00,CTR-ECFA,Pokemon Rumble World,EUR
000400000004A300,CTR-APFP,Petz Fantasy 3D (Rev01),EUR
000400000017E300,CTR-BGXP,Mario & Sonic at the Rio 2016 Olympic Games (Rev01),EUR
000400000017F800,CTR-KCAJ,Hako Boy! Mouhito Hako,JPN
0004000000132700,CTR-AYNE,Mario & Luigi: Paper Jam,USA
000400000016E700,CTR-BCEP,Final Fantasy Explorers,EUR
0004000000168200,CTR-ALEY,LEGO Marvel Avengers,GER
0004000000168500,CTR-ALEE,LEGO Marvel Avengers,USA
000400000016ED00,CTR-BCEE,Final Fantasy Explorers,USA
0004000000062200,CTR-ASNP,Sonic Generations (Rev01),EUR
000400000007C800,CTR-AGAP,Mario Tennis Open (Rev01),EUR
00040000000EE000,CTR-AXCP,Super Smash Bros. for Nintendo 3DS (Rev05),EUR
000400000017C800,CTR-BLLP,The Legend of Legacy,EUR
0004000000168000,CTR-ALEP,LEGO Marvel Avengers,EUR
0004000000162000,CTR-BX2P,Project X Zone 2,EUR
000400000016E900,CTR-BM9P,Etrian Odyssey 2 Untold: The Fafnir Knight,EUR
0004000000174400,CTR-BPXP,Pokemon Super Mystery Dungeon,EUR
0004000000168100,CTR-ALEZ,LEGO Marvel Avengers,FRA
0004000000174100,CTR-BMME,Mega Man Legacy Collection,USA
0004000000160C00,CTR-BX2E,Project X Zone 2,USA
0004000000179800,CTR-BFZE,Fire Emblem Fates: Special Edition,USA
000400000014A400,CTR-BGXJ,Mario & Sonic at Rio Olympics,JPN
0004000000185600,CTR-AYWE,Yo-Kai Watch (DEMO),USA
0004000000179400,CTR-BFXE,Fire Emblem Fates: Birthright,USA
0004000000179600,CTR-BFYE,Fire Emblem Fates: Conquest,USA
000400000017BB00,CTR-BSED,Bravely Second: End Layer,EUR
000400000016A600,CTR-BTEP,Terraria,EUR
00040000000D9000,CTR-AYMP,Mario & Luigi: Dream Team Bros. (Rev01),EUR
000400000018B600,CTR-BBMP,Goosebumps: The Game,EUR
000400000018CC00,CTR-BPPE,Return to PopoloCrois: A Story of Seasons Fairytale,USA
0004000000168400,CTR-ALEV,LEGO Marvel Avengers,ITA
000400000017C700,CTR-BS3P,Stella Glow,EUR
000400000016A900,CTR-BTEE,Terraria,USA
000400000017E200,CTR-BGXE,Mario & Sonic at the Rio 2016 Olympic Games,USA
000400000017EB00,CTR-BZHP,Hyrule Warriors Legends,EUR
000400000017EA00,CTR-BZHE,Hyrule Warriors Legends,USA
0004000000055300,CTR-SACP,3D Classics: TwinBee,EUR
0004000000080F00,CTR-JEKP,Mario & Sonic at the London 2012 Olympic Games: Virtual Card Album,EUR
000400000018A100,CTR-AYNP,Mario & Luigi: Paper Jam (DEMO),EUR
0004000000168300,CTR-ALEX,LEGO Marvel Vengadores,SPA
000400000014A100,CTR-BWLP,Luv Me Buddies Wonderland,EUR
0004000000132600,CTR-AYNJ,Mario & Luigi RPG: Paper Mario MIX,JPN
0004000000172100,CTR-AEHJ,Disney Anna to Yuki no Joou: Olaf no Okurimono,JPN
0004000000187C00,CTR-BHTJ,Haikyu!! Cross Team Match!,JPN
0004000000169F00,CTR-BGPJ,Medarot Girls Mission: Kabuto Ver.,JPN
000400000016A000,CTR-BGQJ,Medarot Girls Mission: Kuwagata Ver.,JPN
000400000017BA00,CTR-BSEE,Bravely Second: End Layer,USA
0004000000187F00,CTR-BRGE,Langrisser Re:Incarnation -TENSEI-,USA
000400000017D700,CTR-BA2J,Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,JPN
0004000000160E00,CTR-BWDJ,Disney Art Academy,JPN
0004000000190900,CTR-BP6J,Pom Pom Purin: Korokoro Daibouken,JPN
000400000018E200,CTR-BYEJ,The Misshitsukara no Dasshutsu Archives 1 (Simple Series for Nintendo 3DS Vol. 2),JPN
000400000018FE00,CTR-BP3J,The Misshitsukara no Dasshutsu Archives 2 (Simple Series for Nintendo 3DS Vol. 3),JPN
0004000000193500,CTR-BTEJ,Terraria,JPN
0004000000167800,CTR-AYWP,Yo-Kai Watch,EUR
0004000000178400,CTR-ARPJ,Raishi: Konpeki no Shou,JPN
0004000000185E00,CTR-AK3E,SEGA 3D Classics Collection,USA
0004000000185A00,CTR-ECFA,Pokemon Rumble World,USA
0004000000177F00,CTR-BMMJ,Rockman Classics Collection,JPN
0004000000166B00,CTR-BG4J,Shin Megami Tensei IV: Final,JPN
000400000018B000,CTR-AYKJ,Youkai Sangokushi,JPN
0004000000053B00,CTR-ABRJ,Biohazard: Revelations (Rev01),JPN
000400000004D900,CTR-ADVJ,Devil Survivor: Over clock (Rev01),JPN
0004000000048100,CTR-AMHJ,Monster Hunter 3G (Rev01),JPN
0004000000053200,CTR-ANWJ,Nazo Waku Yakata: Oto no Ma ni Ma ni (Rev01),JPN
0004000000086200,CTR-EGDJ,Tobidase Doubutsu no Mori (Rev01),JPN
000400000018E300,CTR-ALEJ,LEGO Marvel Avengers,JPN
000400000008C500,CTR-EC6J,Tomodachi Collection: Shin Seikatsu (Rev02),JPN
0004000000193200,CTR-BZHE,Hyrule Warriors Legends (DEMO),USA
000400000016AD00,CTR-BJ3J,Dragon Quest Monsters: Joker 3,JPN
000400000018B400,CTR-BNNJ,Doraemon: Shin Nobita no Nihon Tanjou,JPN
0004000000161700,CTR-BWDE,Disney Art Academy,USA
0004000000179700,CTR-BFYP,Fire Emblem Fates: Conquest,EUR
0004000000179500,CTR-BFXP,Fire Emblem Fates: Birthright,EUR
0004000000170B00,CTR-BTNE,Teenage Mutant Ninja Turtles: Master Splinters Training Pack,USA
000400000018E900,CTR-BHAJ,Boku no Hero Academia: Battle for All,JPN
000400000017A800,CTR-BFZP,Fire Emblem Fates: Special Edition,EUR
0004000000193400,CTR-BZHP,Hyrule Warriors Legends (DEMO),EUR
0004000000189600,CTR-AT3E,Kirby: Planet Robobot (DEMO),USA
0004000000165E00,CTR-BL5E,Skylanders SuperChargers Racing,USA
0004000000183600,CTR-AT3A,Kirby: Planet Robobot,EUR
0004000000183600,CTR-AT3A,Hoshi no Kirby: Robobo Planet,JPN
0004000000090F00,CTR-ATDJ,Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb (Rev01),JPN
00040000000B8B00,CTR-AXCJ,Dairantou Smash Bros. for Nintendo 3DS (Rev01),JPN
