system,game_name,ch_name,id
3do,Live! 3DO Magazine CD-ROM 1 (Japan),3DO游戏杂志CD 1（日版）,3DO#262
3do,Live! 3DO Magazine CD-ROM 10 (Japan),3DO游戏杂志CD 10（日版）,3DO#263
3do,Live! 3DO Magazine CD-ROM 11 (Japan),3DO游戏杂志CD 11（日版）,3DO#264
3do,Live! 3DO Magazine CD-ROM 2 (Japan),3DO游戏杂志CD 2（日版）,3DO#265
3do,Live! 3DO Magazine CD-ROM 3 (Japan),3DO游戏杂志CD 3（日版）,3DO#266
3do,Live! 3DO Magazine CD-ROM 4 (Japan),3DO游戏杂志CD 4（日版）,3DO#267
3do,Live! 3DO Magazine CD-ROM 5 (Japan),3DO游戏杂志CD 5（日版）,3DO#268
3do,Live! 3DO Magazine CD-ROM 6 (Japan),3DO游戏杂志CD 6（日版）,3DO#269
3do,Live! 3DO Magazine CD-ROM 7 (Japan),3DO游戏杂志CD 7（日版）,3DO#270
3do,Live! 3DO Magazine CD-ROM 8 (Japan),3DO游戏杂志CD 8（日版）,3DO#271
3do,Live! 3DO Magazine CD-ROM 9 (Japan),3DO游戏杂志CD 9（日版）,3DO#272
3do,Lost Dungeon (Japan),失落的地下城（日版）,3DO#273
3do,"Lost Eden (USA, Korea)",失落的伊甸园（美版，韩版）,3DO#274
3do,"Lost Files of Sherlock Holmes, The (Europe)",福尔摩斯丢失的档案（欧版）,3DO#275
3do,"Lost Files of Sherlock Holmes, The (USA)",福尔摩斯丢失的档案（美版）,3DO#276
3do,Love Bites (USA),恋爱字节（美版）,3DO#277
3do,Lucienne's Quest (USA),吕西安娜的谜题（美版）,3DO#278
3do,Mad Dog II - The Lost Gold (USA),疯狗2消失的黄金城（美版）,3DO#279
3do,Mad Dog McCree (USA),疯狗 麦克里（美版）,3DO#280
3do,Mahjong Gokuu Tenjiku (Japan),麻雀悟空 天竺（日版）,3DO#281
3do,Mahjong-kyou Jidai - AV Gal Seifuku-hen (Japan),麻雀狂时代 av辣妹制服（日版）,3DO#282
3do,Mahjong-kyou Jidai Cogal Houkago-hen (Japan),麻将狂时代 高中辣妹放学后篇（日版）,3DO#283
3do,Makaroni Hourensou Interactive (Japan),マカロニほうれん荘　インタラクティブ（日版）,3DO#284
3do,Mathemagics - An Interactive Learning Cube (USA),数学 互动教学（美版）,3DO#285
3do,Mazer (USA),马泽尔（美版）,3DO#286
3do,"MegaRace (Europe) (En,Fr,De,Es,It)","烈火战车（欧版） (En,Fr,De,Es,It)",3DO#287
3do,MegaRace (Japan),烈火战车（日版）,3DO#288
3do,"MegaRace (USA, Europe) (En,Fr,De,Es,It)","烈火战车（美版 欧版） (En,Fr,De,Es,It)",3DO#289
3do,"MegaRace (USA, Korea) (En,Fr,De,Es,It)","烈火战车（美版，韩版） (En,Fr,De,Es,It)",3DO#290
3do,Microcosm (Japan),缩影（日版）,3DO#291
3do,Microcosm (USA),缩影（美版）,3DO#292
3do,Mind Teazzer (USA),,3DO#293
3do,Mirai Shounen Conan - Digital Library (Japan),未来少年柯南 - 数字图书馆（日版）,3DO#294
3do,Monoshiri Jiyuugaku - Ogura Hyakunin Isshu-hen (Japan),小倉百人一首編（日版）,3DO#295
3do,Montana Jones (Japan),夺宝奇谋（日版）,3DO#296
3do,Montana Jones (Japan) (Demo),夺宝奇谋（日版） （演示版）,3DO#297
