system,game_name,ch_name,id
n64,Forsaken 64 (USA),浩劫余生64 （美版）,N64#263
n64,Fox Sports College Hoops '99 (USA),福克斯篮球 '99 （美版）,N64#264
n64,Frogger 2 (USA) (Proto 1),青蛙过河2 （美版） (Proto 1),N64#265
n64,Frogger 2 (USA) (Proto 2),青蛙过河2 （美版） (Proto 2),N64#266
n64,Fushigi no Dungeon - Fuurai no Shiren 2 - Oni Shuurai! Shiren Jou! (Japan),风来西林之不可思议的迷宫2 （日版）,N64#267
n64,G.A.S.P!! Fighters' NEXTream (Europe),死亡格斗 （欧版）,N64#268
n64,G.A.S.P!! Fighters' NEXTream (Japan),死亡格斗 （日版）,N64#269
n64,GameBooster 64 (Europe) (v1.1) (Unl),GameBooster64 （欧版） (v1.1) (Unl),N64#270
n64,GameBooster 64 (USA) (v1.1) (Unl),GameBooster64 （美版） (v1.1) (Unl),N64#271
n64,GameShark Pro (USA) (v2.0) (Unl),GameSharkPro （美版） (v2.0) (Unl),N64#272
n64,GameShark Pro (USA) (v3.3) (Unl),GameSharkPro （美版） (v3.3) (Unl),N64#273
n64,Ganbare Goemon - Dero Dero Douchuu Obake Tenkomori (Japan),大盗伍佑卫门-道中除妖记 （日版）,N64#274
n64,Ganbare Goemon - Neo Momoyama Bakufu no Odori (Japan),大盗伍佑卫门-桃山幕府记 （日版）,N64#275
n64,Ganbare! Nippon! Olympics 2000 (Japan),加油!日本!奥运 2000 （日版）,N64#276
n64,Gauntlet Legends (Europe),圣铠传说 （欧版）,N64#277
n64,Gauntlet Legends (Japan),圣铠传说 （日版）,N64#278
n64,Gauntlet Legends (USA),圣铠传说 （美版）,N64#279
n64,Getter Love!! - Cho Renai Party Game Tanjou (Japan),恋爱派对 （日版）,N64#280
n64,"Gex 3 - Deep Cover Gecko (Europe) (En,Es,It)","壁虎杰克斯3 （欧版） (En,Es,It)",N64#281
n64,"Gex 3 - Deep Cover Gecko (Europe) (Fr,De)","壁虎杰克斯3 （欧版） (Fr,De)",N64#282
n64,Gex 3 - Deep Cover Gecko (USA),壁虎杰克斯3 （美版）,N64#283
n64,Gex 64 - Enter the Gecko (Europe),壁虎杰克斯64 （欧版）,N64#284
n64,Gex 64 - Enter the Gecko (USA),壁虎杰克斯64 （美版）,N64#285
n64,"Glover (Europe) (En,Fr,De)","手套小子 （欧版） (En,Fr,De)",N64#286
n64,Glover (USA),手套小子 （美版）,N64#287
n64,Glover (USA) (Beta) (1998-07-16),手套小子 （美版） （测试版） (1998-07-16),N64#288
n64,Glover 2 (USA) (Proto 1),手套小子 2 （美版） (Proto 1),N64#289
n64,Glover 2 (USA) (Proto 2),手套小子 2 （美版） (Proto 2),N64#290
n64,Goemon - Mononoke Sugoroku (Japan),大盗伍佑卫门-魔法双六 （日版）,N64#291
n64,Goemon's Great Adventure (USA),大盗伍佑卫门2 （美版）,N64#292
n64,Golden Nugget 64 (USA),职业赌场64 （美版）,N64#293
n64,GoldenEye 007 (Europe),黄金眼007 （欧版）,N64#294
n64,GoldenEye 007 (Japan),黄金眼007 （日版）,N64#295
n64,GoldenEye 007 (USA),黄金眼007 （美版）,N64#296
n64,"GT 64 - Championship Edition (Europe) (En,Fr,De)","GT赛车64-冠军杯版 （欧版） (En,Fr,De)",N64#297
n64,GT 64 - Championship Edition (USA),GT赛车64-冠军杯版 （美版）,N64#298
n64,GT 64 - Championship Edition (USA) (Beta) (1998-05-25),GT赛车64-冠军杯版 （美版） （测试版） (1998-05-25),N64#299
n64,Hamster Monogatari 64 (Japan),仓鼠物语64 （日版）,N64#300
