system,game_id,game_name,ch_name,UMD_ID,date,genre,img,language,publisher,region
psp,1687,Fantasy Golf Pangya Portable,幻想高尔夫 魔法飞球 携带版,ULKS-46164,2008-12-24,Sports,https://data.yang2000ling.com/img/psp_200/1687.jpg,韩语,Ntreev Soft,韩版
psp,1688,Ratatui,料理鼠王,ULES-00738,2009-01-18,Platformer,https://data.yang2000ling.com/img/psp_200/1688.jpg,葡萄牙语,THQ,欧版
psp,1689,Zill O'll Infinite Plus,龙士传说 无限加强版,ULJM-05410,2009-01-20,RPG,https://data.yang2000ling.com/img/psp_200/1689.jpg,日语,Koei,日版
psp,1690,Star Ocean - Second Evolution,星之海洋-二次进化,ULUS-10375,2009-01-21,RPG,https://data.yang2000ling.com/img/psp_200/1690.jpg,英文,Square Enix,美版
psp,1691,Patapon 2 - Don-Chaka,啪嗒砰2-咚锵,UCAS-40239,2009-01-21,Action,https://data.yang2000ling.com/img/psp_200/1691.jpg,中文,Sony,中国版
psp,1692,Yuusha no Kuse ni Namaikida Or 2,勇者别嚣张or2,UCAS-40240,2009-01-21,RPG,https://data.yang2000ling.com/img/psp_200/1692.jpg,中文,Sony,中国版
psp,1693,Hokuto no Ken - Raoh Gaiden - Ten no Haoh,北斗神拳拉欧外传-天之霸王,ULJM-05404,2009-01-21,Fighting,https://data.yang2000ling.com/img/psp_200/1693.jpg,日语,Interchannel,日版
psp,1694,Tales of the World - Radiant Mythology 2,世界传说-光明神话2,ULJS-00175,2009-01-25,RPG,https://data.yang2000ling.com/img/psp_200/1694.jpg,日语,Bandai Namco Games,日版
psp,1695,Hiiro no Kakera Portable,绯色的碎片 携带版,ULJM-05399,2009-01-27,Adventure,https://data.yang2000ling.com/img/psp_200/1695.jpg,日语,Idea Factory,日版
psp,1696,Soul Eater - Battle Resonance,噬魂师-战斗共鸣,ULJS-00176,2009-01-27,Action,https://data.yang2000ling.com/img/psp_200/1696.jpg,日语,Bandai Namco Games,日版
psp,1697,World Soccer Winning Eleven 2009,实况足球2009,ULJM-05414,2009-01-27,Sports,https://data.yang2000ling.com/img/psp_200/1697.jpg,日语,Konami,日版
psp,1698,Memories Off No. 5 - Togireta Film ,秋之回忆5-中断的影片,ULJM-05394,2009-01-29,Adventure,https://data.yang2000ling.com/img/psp_200/1698.jpg,日语,CyberFront,日版
psp,1699,DJ Max Emotional Sense - Fever,DJMax-狂热,ULUS-10403,2009-01-29,Music,https://data.yang2000ling.com/img/psp_200/1699.jpg,英文,PM Studios,美版
