system,game_id,game_name,ch_name,img
pcecd,PCECD#144,Fushigi no Umi no Nadia - The Secret of Blue Water (Japan),蓝宝石之谜 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD144.jpg
pcecd,PCECD#145,FX Unit Yuki - The Henshin Engine (USA) (Unl) (Rerelease),FX Unit 雪 （美版） （非官方版） (Rerelease),https://data.yang2000ling.com/img/pcecd_200/PCECD145.jpg
pcecd,PCECD#146,Gain Ground SX (Japan),大地槍聲 SX （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD146.jpg
pcecd,PCECD#147,Galaxy Deka Gayvan (Japan),银河刑警Gayvan （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD147.jpg
pcecd,PCECD#148,Garou Densetsu 2 - Aratanaru Tatakai (Japan) (Demo) (SABS),饿狼传说2 新的挑战者 （日版） （演示版） (SABS),https://data.yang2000ling.com/img/pcecd_200/PCECD148.jpg
pcecd,PCECD#149,"Garou Densetsu 2 - Aratanaru Tatakai (Japan) (FABT, FAET, FAFT)","饿狼传说2 新的挑战者 （日版） (FABT, FAET, FAFT)",https://data.yang2000ling.com/img/pcecd_200/PCECD148.jpg
pcecd,PCECD#150,Garou Densetsu Special (Japan) (Demo),饿狼传说 特别版 （日版） （演示版）,https://data.yang2000ling.com/img/pcecd_200/PCECD150.jpg
pcecd,PCECD#151,Garou Densetsu Special (Japan) (FABT),饿狼传说 特别版 （日版） (FABT),https://data.yang2000ling.com/img/pcecd_200/PCECD150.jpg
pcecd,PCECD#152,"Gate of Thunder (Japan) (FACT, FADT)","雷霆之门 （日版） (FACT, FADT)",https://data.yang2000ling.com/img/pcecd_200/PCECD152.jpg
pcecd,PCECD#153,Gate of Thunder + Bonk's Adventure + Bonk's Revenge (USA),雷霆之门+PC原人大冒险+PC原人2 （美版）,https://data.yang2000ling.com/img/pcecd_200/PCECD153.jpg
pcecd,PCECD#154,Genocide (Japan),大屠杀 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD154.jpg
pcecd,PCECD#155,Gensou Tairiku Auleria (Japan),幻苍大陆 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD155.jpg
pcecd,PCECD#156,Ginga Fukei Densetsu Sapphire (Japan),银河妇警传说 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD156.jpg
pcecd,PCECD#157,Ginga Fukei Densetsu Sapphire (Japan) (Reprint),银河妇警传说 （日版） (Reprint),https://data.yang2000ling.com/img/pcecd_200/PCECD156.jpg
pcecd,PCECD#158,"Ginga Ojousama Densetsu Yuna (Japan) (FABT, FACT)","銀河大小姐傳說 （日版） (FABT, FACT)",https://data.yang2000ling.com/img/pcecd_200/PCECD159.jpg
pcecd,PCECD#159,Ginga Ojousama Densetsu Yuna (Japan) (FAFT),銀河大小姐傳說 （日版） (FAFT),https://data.yang2000ling.com/img/pcecd_200/PCECD159.jpg
pcecd,PCECD#160,Ginga Ojousama Densetsu Yuna 2 - Eien no Princess (Japan) (FAAT),銀河大小姐傳說2 永恒的守护公主 （日版） (FAAT),https://data.yang2000ling.com/img/pcecd_200/PCECD160.jpg
pcecd,PCECD#161,Ginga Ojousama Densetsu Yuna 2 - Eien no Princess (Japan) (FABT),銀河大小姐傳說2 永恒的守护公主 （日版） (FABT),https://data.yang2000ling.com/img/pcecd_200/PCECD160.jpg
pcecd,PCECD#162,Ginga Ojousama Densetsu Yuna HuVIDEO CD (Japan),銀河大小姐傳說 HuVIDEO CD （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD162.jpg
pcecd,PCECD#163,Go! Go! Birdie Chance (Japan),Go! Go! 高尔夫 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD163.jpg
pcecd,PCECD#164,God Panic - Shijou Saikyou no Gundan (Japan),上帝的恐慌 史上最强军团 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD164.jpg
pcecd,PCECD#165,Godzilla (USA),哥斯拉 （美版）,https://data.yang2000ling.com/img/pcecd_200/PCECD165.jpg
pcecd,PCECD#166,Godzilla Bakutou Retsuden (Japan),哥斯拉爆斗列传 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD166.jpg
pcecd,PCECD#167,Goetzendiener (Japan),偶像崇拜者 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD167.jpg
pcecd,PCECD#168,Golden Axe (Japan),战斧 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD168.jpg
pcecd,PCECD#169,Golden Axe (Japan) (Alt),战斧 （日版） (Alt),https://data.yang2000ling.com/img/pcecd_200/PCECD168.jpg
pcecd,PCECD#170,Gradius II - Gofer no Yabou (Japan),宇宙巡航机 2 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD170.jpg
pcecd,PCECD#171,GS (Ghost Sweeper) Mikami (Japan),GS美神 (Ghost Sweeper) Mikami （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD171.jpg
pcecd,PCECD#172,Gulclight TDF 2 (Japan),地球防卫军 2 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD172.jpg
pcecd,PCECD#173,Gyuwambler Jiko Chuushinha - Gekitou 36 Janshi (Japan),自我中心派麻将 激斗36雀士 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD173.jpg
