system,game_id,game_name,ch_name,dlc_id,dlc_name,region
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGCK0017,Sackgirl's Casual Friday Costume Pack,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGCO0020,Sacktue of Liberty Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGCO0012,Saint Patrick's Day Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGCO0073,Samurai Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGCO0008,Santa Boots and Trousers Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGCO0009,Santa Hat and Beard Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCSQEXCO0001,Sephiroth Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCWBDCCO0017,SHAZAM! Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCWBDCCO0019,Solomon Grundy Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGCO0019,Solstice Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCSEGACK0001,Sonic UnleashedTM Costumes,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGCO0001,Spacesuit Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGLK0006,Spring Creator Kit,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCCPSFCK0001,Street FighterTM Costumes,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGLK0007,Summer Creator Kit,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCWBDCCO0002,Supergirl Costume,USA
